STATIONSAFKORTING,STATIONS_NAAM,GEMEENTE,REGIO_RSV_NAAM,REGIO_SSVO_NAAM,IND_BACKUP_VENS,IND_STANDPLAATS_VENS,GELDIGVANAF,GELDIGTM,IND_HUIDIG
Uto,Utrecht Overvecht,Utrecht,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ns,Nunspeet,Nunspeet,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Uhm,Uithuizermeeden,Het Hogeland,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Sd,Soestdijk,Soest,RSV Noord-Oost,Amersfoort,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Tb,Tilburg,Tilburg,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2022-06-01 00:00:00.000000,8888-12-31 23:59:59.999999,1
Gw,Grou-Jirnsum,Heerenveen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hde,'t Harde,Elburg,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Gvm,Den Haag Mariahoeve,'s-Gravenhage,RSV Randstad Zuid,Den Haag,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ahpr,Arnhem Presikhaaf,Arnhem,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Sdm,Schiedam Centrum,Schiedam,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bsd,Beesd,West Betuwe,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
St,Soest,Soest,RSV Noord-Oost,Amersfoort,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Asn,Assen,Assen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Rm,Roermond,Roermond,RSV Zuid,Zuid- en Midden-Limburg,0,0,2022-06-01 00:00:00.000000,8888-12-31 23:59:59.999999,1
